items,freq
beef,508
white wine,175
chocolate,353
sugar,265
oil,223
processed cheese,152
candy,215
meat,252
frankfurter,565
sausage,903
berries,326
coffee,473
pip fruit,734
hygiene articles,205
salty snack,281
white bread,359
specialty chocolate,239
domestic eggs,555
rolls/buns,1646
"rolls/buns,other vegetables",158
"rolls/buns,whole milk",209
root vegetables,1041
bottled beer,678
beverages,248
specialty bar,209
cat food,177
long life bakery product,268
ice cream,227
yogurt,1285
"yogurt,whole milk",167
canned beer,702
dessert,353
fruit/vegetable juice,509
newspapers,582
bottled water,908
grapes,216
ham,256
margarine,482
hamburger meat,327
red/blush wine,157
pastry,774
onions,303
other vegetables,1827
"other vegetables,whole milk",222
chicken,417
pork,555
herbs,158
soft cheese,150
sliced cheese,210
frozen meals,251
UHT-milk,320
frozen vegetables,419
brown bread,563
citrus fruit,795
misc. beverages,236
butter,527
chewing gum,180
shopping bags,712
soda,1453
"soda,whole milk",174
cream cheese ,354
waffles,277
whipped/sour cream,654
butter milk,263
hard cheese,220
curd,504
tropical fruit,1014
napkins,331
whole milk,2363
